"EDV,lv","EDP,lv","pEndIVC,lv","pMax,lv","ESV,lv","pEndEj,lv","EDV,rv","EDP,rv","pEndIVC,rv","pMax,rv","ESV,rv","pEndEj,rv","EDV,aWave,la","pMax,aWave,la","ESV,aWave,la","VMax,vWave,la","pMax,vWave,la","ESV,vWave,la","pMin,vWave,la","EDV,aWave,ra","pMax,aWave,ra","ESV,aWave,ra","VMax,vWave,ra","pMax,vWave,ra","ESV,vWave,ra","pMin,vWave,ra"
153.71,9.9,56.12,126.81,80.47,106.17,116.61,3.13,19.29,33.12,43.89,15.8,66.9,14.63,30.92,74.54,7.75,53.39,2.59,50.31,5.62,31.98,66.21,2.84,40.54,-0.09
150.58,7.84,76.08,114.85,86.82,91.98,109.22,3.09,15.04,27.05,45.58,11.77,59.56,13.11,26.23,67.66,6.59,49.09,2.01,47.74,5.27,27.11,60.71,2.38,39.48,-0.22
174.11,11.73,42.25,131.14,87.36,104.78,125.21,2.96,14.25,31.64,38.75,10.28,65.11,16.01,28.57,79.19,9.16,54.19,2.79,48.98,5.67,28.95,71.54,3.65,41.66,0.02
133.38,14.33,79.41,117.08,79.69,99.88,95.23,4.96,15.91,25.68,41.69,11.3,62.12,11.63,29.21,67.33,5.11,50.05,1.72,48.33,4.51,29.77,57.32,1.49,34.03,-0.62
156.32,12.11,73.53,131.73,72.31,101.01,122.86,4.45,20.14,35.19,38.72,13.55,70.59,15.61,30.33,77.53,9.0,51.09,2.24,56.74,7.71,26.66,67.61,3.17,38.18,-0.33
128.58,7.24,63.57,111.17,71.17,88.11,93.63,2.54,12.35,24.09,36.48,6.91,58.77,12.0,26.57,66.62,5.48,44.94,1.0,46.2,4.62,29.13,57.02,1.62,29.82,-1.11
163.17,11.71,48.37,124.54,80.75,100.43,127.05,3.39,17.38,34.47,45.17,13.29,66.39,15.81,29.63,81.48,11.3,51.38,2.52,50.99,6.18,29.31,70.79,4.02,43.96,0.27
165.07,11.75,73.14,132.19,77.27,102.3,132.56,4.37,20.24,37.48,44.31,15.88,67.64,15.76,30.28,73.87,9.99,51.31,2.89,55.57,7.97,27.95,67.66,4.03,42.4,0.12
141.97,8.73,76.54,122.85,80.22,102.64,99.31,2.99,14.86,25.59,37.61,9.39,62.24,12.35,30.41,67.55,6.92,49.42,2.14,50.68,5.15,27.46,59.24,2.26,33.59,-0.86
132.13,8.16,82.86,116.66,77.78,94.69,93.74,4.03,12.67,24.65,39.44,8.59,55.83,10.61,26.29,64.15,5.59,45.29,1.2,47.88,4.87,25.07,57.55,1.92,31.61,-1.06
162.14,11.47,79.73,119.35,79.61,94.05,117.43,4.07,14.89,28.66,34.79,6.84,71.52,16.2,27.9,78.2,8.22,53.68,2.53,53.55,7.45,24.72,65.58,2.59,34.73,-0.62
148.62,8.28,60.8,128.42,69.43,99.82,112.34,2.61,15.74,31.59,34.13,8.15,61.43,13.64,27.99,71.27,8.26,45.52,1.34,50.42,5.65,26.74,64.37,3.13,36.98,-0.52
147.86,8.4,72.2,123.27,65.48,90.43,114.81,3.08,15.83,31.26,32.79,7.92,65.35,14.37,26.73,72.0,6.55,46.27,1.19,52.16,6.8,24.69,65.6,2.59,32.39,-0.83
167.19,14.21,40.8,130.2,77.06,101.57,125.44,3.77,14.16,33.16,35.06,8.55,72.23,16.55,32.55,84.45,11.82,54.9,3.12,53.06,6.5,30.88,70.09,3.69,40.08,-0.14
161.95,15.95,69.99,130.01,78.12,103.36,124.6,6.17,22.97,34.69,40.61,14.27,71.57,15.57,29.98,75.6,7.96,53.06,2.52,57.56,7.81,25.01,68.92,3.2,37.92,-0.34
152.47,9.05,64.98,111.26,87.44,91.12,105.38,2.98,16.02,24.77,40.57,9.31,64.11,13.09,29.96,69.59,6.65,52.67,2.55,49.33,4.86,29.77,61.28,2.27,37.3,-0.41
150.51,10.63,78.86,123.62,76.61,94.42,113.7,4.89,15.97,31.29,39.79,10.37,61.95,11.88,29.62,69.8,7.77,47.84,1.83,52.15,5.64,28.0,61.71,2.69,37.57,-0.44
145.96,7.72,68.57,113.13,95.29,94.94,92.45,2.72,14.19,21.18,41.9,8.84,57.6,12.44,26.64,63.13,5.04,51.56,2.39,46.77,4.72,25.6,58.7,1.98,34.27,-0.74
187.31,22.75,65.38,137.16,95.65,108.92,140.05,7.52,23.86,37.08,47.95,16.13,87.22,18.38,37.21,93.56,11.62,68.97,5.09,62.78,8.88,29.59,78.36,3.89,45.65,0.34
137.14,8.56,78.48,115.7,67.52,91.65,104.65,2.94,13.95,29.02,35.28,7.01,64.09,14.21,26.87,74.84,6.96,46.83,1.24,50.85,6.46,24.39,61.8,2.03,32.09,-0.84
147.83,11.84,77.71,122.73,80.95,99.9,108.79,4.78,18.65,29.12,41.94,13.03,59.69,12.68,28.12,65.58,6.83,46.66,1.69,50.62,5.51,25.94,60.62,2.68,38.49,-0.37
131.24,6.28,60.19,119.28,74.59,97.66,91.38,2.11,12.66,23.66,34.99,6.78,55.57,11.83,25.95,62.79,5.14,44.97,1.14,44.57,4.56,28.4,56.17,1.72,29.32,-1.32
154.93,7.53,53.66,121.06,93.22,101.35,105.98,2.23,16.03,26.8,44.68,11.87,58.74,13.53,27.08,68.03,6.15,52.04,2.43,46.02,4.53,28.66,62.22,2.39,40.11,-0.14
193.41,17.72,66.55,137.33,90.83,102.36,144.27,7.06,21.34,36.05,41.27,12.16,75.04,17.2,32.3,85.12,12.33,56.51,3.59,58.24,7.82,27.54,74.27,4.51,43.54,0.22
165.75,13.37,78.9,134.4,67.18,93.5,140.36,5.44,23.83,40.63,41.63,16.36,72.1,16.03,33.37,78.17,11.21,51.62,2.81,60.94,8.63,29.39,72.03,4.68,42.79,0.16
164.37,12.33,74.11,122.92,89.1,102.31,116.68,4.87,16.45,29.58,41.33,9.56,64.99,14.51,28.44,72.86,8.59,51.8,2.71,52.46,6.46,25.57,64.27,3.05,38.77,-0.31
138.1,13.04,73.12,124.64,74.07,103.72,96.76,5.92,13.74,24.51,32.26,7.46,63.97,13.68,27.68,70.08,6.7,48.32,1.7,47.43,5.68,26.36,52.88,1.22,28.18,-1.37
123.91,5.47,44.91,111.19,75.03,92.92,83.56,1.51,10.94,20.91,35.11,6.25,52.56,9.7,27.35,61.72,4.02,45.14,0.96,43.39,2.93,33.47,54.05,1.19,29.99,-1.01
152.54,7.83,53.16,127.77,82.38,107.58,112.42,2.39,16.84,30.64,42.69,13.28,59.42,12.26,28.9,66.49,6.75,48.84,2.06,47.02,4.43,32.13,61.6,2.68,39.87,-0.18
152.61,10.38,42.73,121.51,71.59,92.99,128.7,3.25,16.78,37.51,48.02,17.85,64.04,15.25,27.05,73.15,6.97,48.86,1.67,49.37,6.01,28.94,72.29,3.56,44.18,0.26
142.59,10.41,86.38,113.64,71.23,90.01,117.35,4.68,19.03,33.31,46.15,15.75,64.23,12.38,28.86,68.56,6.38,46.8,1.4,52.98,6.09,27.93,64.69,2.75,39.72,-0.17
170.06,10.34,36.06,116.73,87.55,90.92,122.56,2.65,12.09,28.95,40.69,9.34,61.09,14.75,28.88,75.64,9.5,50.36,2.36,47.82,5.09,29.97,67.91,3.63,42.04,0.06
