span,depth,max_def,weight
3.112,1.116,0.03,67.41
3.112,0.695,0.08,47.37
3.884,0.366,0.74,39.57
3.862,0.366,0.72,39.35
3.884,0.945,0.11,73.98
3.884,0.945,0.11,73.98
3.862,0.366,0.72,39.35
3.862,0.945,0.1,73.56
3.384,0.866,0.07,60.36
3.362,0.866,0.07,59.97
3.384,0.445,0.28,38.57
3.384,0.445,0.28,38.57
3.362,0.866,0.07,59.97
3.362,0.445,0.27,38.32
3.259,0.241,1,26.97
3.237,0.241,0.97,26.79
3.259,0.32,0.5,30.91
3.259,0.32,0.5,30.91
3.237,0.241,0.97,26.79
3.237,0.32,0.49,30.7
3.759,0.741,0.15,59.86
3.737,0.741,0.15,59.51
3.759,0.82,0.12,64.41
3.759,0.82,0.12,64.41
3.737,0.741,0.15,59.51
3.737,0.82,0.12,64.03
3.509,0.491,0.26,42.46
3.487,0.491,0.25,42.2
3.509,0.57,0.19,46.7
3.509,0.57,0.19,46.7
3.487,0.491,0.25,42.2
3.487,0.57,0.19,46.41
3.009,0.991,0.03,59.43
3.987,0.991,0.11,78.74
3.009,1.07,0.03,63.06
3.009,1.07,0.03,63.06
3.987,0.991,0.11,78.74
3.987,1.07,0.09,83.56
3.013,0.408,0.21,32.63
3.225,0.408,0.28,34.93
3.013,0.503,0.13,37.01
3.013,0.503,0.13,37.01
3.225,0.408,0.28,34.93
3.225,0.503,0.18,39.62
3.513,0.908,0.08,64.92
3.725,0.908,0.1,68.84
3.513,1.003,0.06,70.03
3.513,1.003,0.06,70.03
3.725,0.908,0.1,68.84
3.725,1.003,0.08,74.25
3.763,0.658,0.19,55.15
3.475,0.658,0.14,50.93
3.763,0.253,1.56,31.83
3.763,0.253,1.56,31.83
3.475,0.658,0.14,50.93
3.475,0.253,1.14,29.4
3.263,1.158,0.04,72.78
3.975,1.158,0.08,88.66
3.263,0.753,0.08,52.56
3.263,0.753,0.08,52.56
3.975,1.158,0.08,88.66
3.975,0.753,0.18,64.03
3.388,0.533,0.19,43.18
3.6,0.533,0.24,45.88
3.388,0.878,0.07,61.06
3.388,0.878,0.07,61.06
3.6,0.533,0.24,45.88
3.6,0.878,0.09,64.88
3.888,1.033,0.09,79.29
3.1,1.033,0.04,63.22
3.888,0.378,0.69,40.33
3.888,0.378,0.69,40.33
3.1,1.033,0.04,63.22
3.1,0.378,0.28,32.15
3.638,0.283,1.04,32.45
3.85,0.283,1.3,34.34
3.638,1.128,0.06,79.48
3.638,1.128,0.06,79.48
3.85,0.283,1.3,34.34
3.85,1.128,0.07,84.11
3.138,0.783,0.06,51.99
3.35,0.783,0.08,55.5
3.138,0.628,0.1,44.55
3.138,0.628,0.1,44.55
3.35,0.783,0.08,55.5
3.35,0.628,0.13,47.56
3.201,0.596,0.12,43.88
3.788,0.596,0.24,51.92
3.201,0.441,0.23,36.29
3.201,0.441,0.23,36.29
3.788,0.596,0.24,51.92
3.788,0.441,0.44,42.94
3.701,1.096,0.07,79.04
3.288,1.096,0.04,70.22
3.701,0.941,0.09,70.26
3.701,0.941,0.09,70.26
3.288,1.096,0.04,70.22
3.288,0.941,0.05,62.42
3.951,0.346,0.9,39.05
3.538,0.346,0.58,34.97
3.951,0.691,0.21,59.9
3.951,0.691,0.21,59.9
3.538,0.346,0.58,34.97
3.538,0.691,0.13,53.64
3.451,0.846,0.08,60.5
3.038,0.846,0.05,53.26
3.451,1.191,0.04,78.72
3.451,1.191,0.04,78.72
3.038,0.846,0.05,53.26
3.038,1.191,0.03,69.3
3.326,0.221,1.35,26.51
3.413,0.221,1.49,27.2
3.326,1.066,0.05,69.51
3.326,1.066,0.05,69.51
3.413,0.221,1.49,27.2
3.413,1.066,0.05,71.32
3.826,0.721,0.17,59.76
3.913,0.721,0.18,61.12
3.826,0.566,0.27,50.69
3.826,0.566,0.27,50.69
3.913,0.721,0.18,61.12
3.913,0.566,0.3,51.84
