"EDV,lv","EDP,lv","ESV,lv","pMax,lv","dp/dtMax,lv","dp/dtMin,lv","EDV,rv","EDP,rv","ESV,rv","pMax,rv","dp/dtMax,rv","dp/dtMin,rv","EDV,la","ESV,la","VMax,la","pMax,La","EDV,ra","ESV,ra","VMax,ra","pMax,ra"
155.35,10.5,111.17,125.11,1548.0,-710.0,102.65,4.6,61.9,22.43,346.0,-127.0,186.36,151.81,192.72,8.09,152.24,121.14,154.31,3.46
138.2,7.16,78.99,76.08,1041.0,-449.0,126.5,6.1,72.79,28.53,363.0,-142.0,167.06,137.57,178.98,4.03,169.44,123.42,171.58,5.51
128.66,5.63,89.75,99.69,1502.0,-604.0,132.85,3.17,98.9,21.66,303.0,-115.0,182.02,152.44,185.13,4.89,151.85,127.56,159.42,3.14
118.79,7.63,66.83,91.43,1437.0,-506.0,151.96,7.13,102.02,34.94,556.0,-183.0,155.7,135.54,171.45,3.31,151.91,123.07,162.81,4.11
151.67,5.92,120.2,106.23,1511.0,-649.0,112.48,2.64,84.07,27.03,470.0,-150.0,187.34,155.27,187.59,5.51,146.25,123.84,153.5,2.93
157.19,5.18,119.53,115.42,1722.0,-701.0,133.69,2.55,97.34,26.82,434.0,-160.0,181.49,141.96,182.0,4.85,143.72,117.7,151.98,3.11
153.01,6.8,102.22,129.29,1707.0,-719.0,141.43,3.86,92.04,33.65,598.0,-188.0,170.65,123.58,175.74,5.46,151.01,104.49,158.09,5.27
158.97,4.61,122.91,84.4,1142.0,-528.0,118.24,3.56,88.76,26.68,414.0,-144.0,169.0,132.09,167.94,4.63,153.49,115.68,158.59,4.34
129.0,4.53,90.23,76.57,1191.0,-536.0,137.5,3.69,103.67,23.27,313.0,-139.0,170.01,146.12,179.94,3.85,163.82,128.93,169.71,3.88
144.35,6.99,107.56,106.3,1412.0,-643.0,119.59,4.59,86.06,23.64,362.0,-131.0,175.84,144.44,178.05,5.18,148.22,119.24,154.33,3.7
129.51,7.16,89.77,97.62,1626.0,-720.0,134.84,5.24,98.2,25.3,520.0,-155.0,169.01,139.18,176.14,4.52,159.52,122.53,165.97,4.11
143.24,3.44,87.86,72.9,971.0,-476.0,136.22,4.59,85.16,31.89,469.0,-174.0,153.1,133.17,174.43,3.27,166.62,120.03,176.48,6.22
152.08,6.52,98.54,101.17,1484.0,-569.0,115.5,4.91,64.18,32.02,521.0,-167.0,174.21,134.82,179.81,4.7,151.18,116.61,163.51,5.23
124.32,3.53,79.72,80.76,1398.0,-506.0,131.33,4.65,94.42,30.69,480.0,-162.0,159.84,134.99,166.99,2.72,176.85,131.62,180.88,4.98
125.94,4.25,82.47,131.17,2187.0,-811.0,131.92,2.92,88.89,32.26,656.0,-185.0,167.68,137.48,178.21,3.94,155.82,116.36,159.29,3.92
129.72,4.96,82.2,60.53,788.0,-449.0,154.6,5.62,113.09,30.51,457.0,-203.0,146.59,130.89,160.82,2.47,162.92,126.57,169.35,4.44
171.71,6.68,136.66,105.15,1221.0,-573.0,105.64,2.78,69.48,22.35,334.0,-127.0,194.06,152.93,195.33,7.06,144.69,118.12,151.62,3.42
158.67,6.62,120.76,120.33,1570.0,-695.0,139.3,2.86,100.6,21.65,301.0,-115.0,181.68,137.18,183.37,5.55,144.91,111.34,150.38,3.22
164.06,7.04,119.95,97.92,1393.0,-659.0,121.58,3.23,81.18,22.39,266.0,-114.0,177.06,143.09,184.7,6.63,148.82,118.16,151.11,3.44
138.99,5.18,90.68,109.32,1523.0,-673.0,126.97,3.49,83.99,33.45,551.0,-184.0,162.64,138.21,176.79,4.07,159.51,122.39,163.32,3.59
135.97,4.49,87.78,96.06,1438.0,-615.0,140.34,3.77,97.12,34.49,645.0,-193.0,159.89,134.17,173.07,3.49,160.42,118.06,168.31,4.77
151.95,5.8,115.08,108.86,1405.0,-608.0,116.05,3.24,81.59,30.52,484.0,-171.0,173.19,142.29,180.76,4.92,150.39,116.77,153.97,3.79
156.07,5.72,111.85,87.77,1103.0,-495.0,115.94,4.03,75.47,28.46,402.0,-146.0,175.1,139.56,181.14,4.64,156.9,118.69,162.55,4.59
148.35,4.64,106.33,95.08,1303.0,-599.0,131.87,3.5,93.73,30.63,500.0,-174.0,169.68,129.29,169.47,4.17,151.34,115.34,158.7,4.2
149.49,5.81,110.89,102.09,1393.0,-597.0,124.04,3.74,89.51,27.06,434.0,-143.0,170.31,136.3,174.13,4.79,151.54,116.81,157.5,4.0
153.37,7.47,100.59,124.73,2050.0,-667.0,113.23,3.28,64.22,25.12,354.0,-104.0,194.16,149.02,199.58,7.08,152.8,119.36,157.25,3.64
153.23,4.59,123.38,95.58,1323.0,-638.0,118.36,2.83,91.38,25.91,447.0,-154.0,178.85,151.51,181.64,4.31,154.24,124.87,158.36,3.35
126.52,3.63,73.7,82.64,1307.0,-479.0,141.89,5.0,92.6,35.24,575.0,-197.0,154.98,130.07,165.83,3.34,166.25,120.06,170.34,6.45
166.22,6.01,130.69,113.51,1744.0,-732.0,121.26,2.55,85.75,19.14,276.0,-109.0,175.34,149.78,183.04,6.05,146.89,120.85,147.68,2.79
150.5,7.26,106.16,108.15,1514.0,-675.0,134.44,2.67,90.5,22.99,331.0,-115.0,208.46,157.23,209.46,6.82,150.91,119.27,160.0,3.24
161.77,6.07,116.99,91.31,1360.0,-590.0,118.79,3.87,78.23,28.34,429.0,-152.0,184.99,143.62,187.1,5.54,155.33,118.57,163.31,4.26
162.02,6.03,128.31,107.99,1498.0,-708.0,132.5,2.55,98.43,21.53,342.0,-139.0,181.43,146.63,183.0,6.25,144.03,117.12,148.94,3.39
149.51,5.42,100.65,92.18,1540.0,-566.0,115.67,4.18,71.75,30.59,500.0,-165.0,168.51,143.12,181.18,4.59,161.55,123.45,164.97,4.57
134.82,7.97,70.85,95.95,1788.0,-628.0,140.93,7.1,79.02,32.12,420.0,-171.0,168.82,142.86,187.6,3.97,169.94,126.78,172.79,4.96
144.82,7.04,80.59,77.41,1107.0,-510.0,131.76,5.49,71.5,25.18,242.0,-145.0,175.2,146.63,196.03,4.81,174.99,130.36,178.43,4.74
163.71,8.4,124.69,110.53,1454.0,-632.0,119.98,3.63,83.84,23.39,363.0,-129.0,186.51,146.6,186.45,6.59,148.95,121.08,152.82,3.08
144.48,6.01,83.01,91.17,1382.0,-665.0,129.79,3.85,73.12,24.09,175.0,-121.0,172.31,141.5,185.59,6.29,154.12,122.44,160.24,4.69
162.86,6.48,120.26,89.15,1219.0,-523.0,110.16,3.52,70.95,21.79,264.0,-112.0,195.96,155.37,198.72,5.73,157.47,123.09,162.85,3.93
135.55,7.41,84.24,90.77,1489.0,-550.0,125.98,5.3,79.28,27.38,441.0,-144.0,169.11,142.86,180.38,4.09,161.29,125.68,164.59,4.12
162.86,8.38,116.32,117.66,1651.0,-699.0,127.56,3.28,84.31,20.71,252.0,-108.0,189.28,138.08,189.15,7.43,148.48,112.54,154.1,4.22
134.47,5.33,79.63,116.61,1848.0,-699.0,133.82,3.69,81.95,27.09,340.0,-135.0,163.36,134.58,179.93,5.21,152.9,118.91,160.99,4.27
158.34,6.54,116.14,100.16,1210.0,-569.0,104.28,2.96,64.92,23.29,313.0,-123.0,196.29,158.57,199.35,6.17,153.62,126.1,159.27,3.44
128.2,3.93,75.97,92.35,1598.0,-630.0,143.16,3.92,95.38,30.78,430.0,-164.0,155.54,135.64,173.92,3.71,158.86,121.93,168.96,4.88
126.05,5.58,55.85,105.5,1657.0,-633.0,152.22,4.51,84.29,35.19,369.0,-162.0,173.91,135.13,191.5,4.39,173.51,115.05,176.01,5.47
141.04,5.91,98.44,107.76,1368.0,-653.0,117.77,3.82,80.48,27.06,433.0,-148.0,164.11,138.3,173.15,4.24,149.83,121.01,156.47,3.51
153.66,6.67,105.76,106.12,1458.0,-624.0,117.98,3.48,71.79,19.62,214.0,-85.0,194.35,149.21,196.98,6.42,151.26,119.33,157.84,4.04
146.04,5.79,104.08,94.45,1353.0,-637.0,146.49,3.59,103.46,28.3,405.0,-173.0,165.99,136.34,175.56,4.7,148.02,117.84,153.86,3.58
157.45,5.38,114.45,91.73,1374.0,-584.0,119.31,4.24,81.72,28.17,418.0,-155.0,166.54,136.59,171.38,4.81,147.95,116.7,156.72,4.48
147.28,6.8,107.23,121.23,1776.0,-730.0,131.57,3.52,92.43,29.43,552.0,-171.0,180.51,132.11,180.84,6.06,152.55,110.26,155.96,4.33
138.17,5.61,83.52,97.3,1423.0,-599.0,124.48,4.39,75.36,23.85,273.0,-115.0,169.06,135.09,181.15,5.06,156.21,117.55,164.38,4.78
187.91,7.43,152.26,93.61,1258.0,-572.0,100.01,2.97,67.16,18.62,257.0,-106.0,184.73,150.19,187.49,7.83,146.55,118.74,147.94,3.52
128.73,4.84,85.7,103.46,1556.0,-649.0,125.23,3.67,85.65,30.57,501.0,-172.0,160.73,136.12,171.73,4.76,150.87,116.8,156.68,4.78
148.25,6.32,100.75,100.39,1447.0,-695.0,116.04,3.91,73.58,30.31,425.0,-180.0,176.78,136.1,181.7,6.05,156.73,117.0,163.09,4.49
129.53,3.58,83.12,58.0,664.0,-365.0,141.95,4.86,101.05,31.73,426.0,-186.0,151.22,126.28,164.27,3.28,163.5,116.82,169.56,6.39
170.22,6.79,120.93,124.04,1824.0,-861.0,135.59,2.73,85.34,27.84,379.0,-163.0,180.77,129.27,182.86,6.24,143.77,108.08,149.65,3.64
126.42,5.44,75.45,74.84,1031.0,-438.0,136.61,6.28,90.03,31.72,472.0,-171.0,155.75,133.13,169.84,3.24,167.73,120.17,174.95,6.35
151.72,4.93,115.51,112.22,1604.0,-757.0,122.91,2.5,85.84,26.2,399.0,-147.0,178.88,144.4,180.85,4.68,142.65,120.94,152.68,3.01
139.32,6.79,83.81,90.83,1522.0,-569.0,133.08,4.84,80.12,23.18,194.0,-97.0,171.97,147.88,189.79,4.91,159.38,129.21,164.03,3.96
183.18,7.58,143.16,127.74,1592.0,-743.0,94.9,2.89,55.66,22.82,326.0,-127.0,206.95,157.44,206.47,7.46,150.97,118.03,153.8,3.07
138.85,6.76,86.56,89.1,1380.0,-585.0,148.02,5.02,99.36,32.2,481.0,-180.0,161.22,129.18,174.57,4.46,156.12,112.02,165.36,4.99
124.51,4.83,71.31,92.6,1419.0,-679.0,154.71,4.83,105.96,27.48,407.0,-165.0,154.06,133.81,167.08,3.11,154.76,121.66,159.31,4.14
150.79,5.44,106.58,85.62,1213.0,-556.0,124.35,3.63,85.65,20.48,217.0,-114.0,171.24,141.12,180.0,5.11,157.59,123.11,160.22,4.17
148.8,7.04,90.02,115.56,2012.0,-707.0,126.25,3.66,72.39,26.35,270.0,-119.0,173.92,136.43,184.59,6.49,152.11,117.24,157.14,4.29
146.1,4.37,106.05,98.9,1375.0,-619.0,117.78,2.98,84.03,28.14,484.0,-167.0,164.17,142.05,171.3,3.98,154.45,126.38,156.28,3.15
155.95,6.31,93.43,88.55,1168.0,-480.0,123.93,5.23,66.88,28.69,175.0,-110.0,180.57,141.35,193.55,5.31,168.06,118.53,174.88,5.94
142.56,8.64,87.29,101.31,1631.0,-652.0,113.11,5.68,63.78,24.82,271.0,-112.0,182.75,149.41,192.11,6.22,158.71,122.92,162.67,4.59
129.42,6.96,83.05,116.31,1914.0,-755.0,122.36,4.77,80.5,30.59,541.0,-172.0,160.73,138.45,173.16,4.55,150.48,120.93,157.58,3.92
139.24,4.03,87.97,69.06,812.0,-495.0,136.39,4.36,92.73,26.62,375.0,-157.0,154.88,131.2,166.86,3.33,162.58,122.2,165.78,4.6
134.44,4.11,91.35,83.6,1269.0,-599.0,134.95,3.58,97.72,28.7,448.0,-168.0,159.29,134.66,166.47,3.91,155.75,120.18,158.12,4.31
158.75,5.71,105.92,71.53,852.0,-446.0,119.18,4.71,71.02,21.18,146.0,-95.0,177.82,138.92,187.59,5.67,162.29,120.19,171.52,5.54
